GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT074,com.bbva.qtdi,AbstractQTDIT07401ESTransaction,5,3,0,0,1,2,1,1,1,1
QTDIT074,com.bbva.qtdi,QTDIT07401ESTransaction,0,9,0,0,0,3,0,2,0,2
