GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT078,com.bbva.qtdi,AbstractQTDIT07801ESTransaction,15,3,0,0,4,2,3,1,3,1
QTDIT078,com.bbva.qtdi,QTDIT07801ESTransaction,0,9,0,0,0,3,0,2,0,2
