GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT072,com.bbva.qtdi,AbstractQTDIT07201ESTransaction,75,3,0,0,29,2,15,1,15,1
QTDIT072,com.bbva.qtdi,QTDIT07201ESTransaction,0,9,0,0,0,3,0,2,0,2
