GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT079,com.bbva.qtdi,AbstractQTDIT07901ESTransaction,40,3,0,0,14,2,8,1,8,1
QTDIT079,com.bbva.qtdi,QTDIT07901ESTransaction,0,9,0,0,0,3,0,2,0,2
