GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT077,com.bbva.qtdi,QTDIT07701ESTransaction,0,9,0,0,0,3,0,2,0,2
QTDIT077,com.bbva.qtdi,AbstractQTDIT07701ESTransaction,35,3,0,0,13,2,7,1,7,1
