GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QTDIT080,com.bbva.qtdi,AbstractQTDIT08001ESTransaction,10,3,0,0,2,2,2,1,2,1
QTDIT080,com.bbva.qtdi,QTDIT08001ESTransaction,0,9,0,0,0,3,0,2,0,2
